pairkey,white_ratio,fallback,fallback_percentile
IMG_210204_095323_0058_,0.031516075134277344,1,97.0
IMG_210204_095325_0059_,0.02840137481689453,1,97.0
IMG_210204_095348_0060_,0.031459808349609375,1,95.0
IMG_210204_095350_0061_,0.02962493896484375,1,96.0
IMG_210204_095352_0062_,0.031180381774902344,1,96.0
IMG_210204_095354_0063_,0.027634620666503906,1,97.0
IMG_210204_095356_0064_,0.033614158630371094,1,96.0
IMG_210204_095358_0065_,0.02794361114501953,1,95.0
IMG_210204_095400_0066_,0.032904624938964844,1,96.0
IMG_210204_095402_0067_,0.027344703674316406,1,97.0
IMG_210204_095404_0068_,0.02855396270751953,1,95.0
IMG_210204_095406_0069_,0.03298664093017578,1,96.0
IMG_210204_095408_0070_,0.031269073486328125,1,96.0
IMG_210204_095410_0071_,0.03236961364746094,1,96.0
IMG_210204_095412_0072_,0.030328750610351562,1,96.0
IMG_210204_095413_0073_,0.032355308532714844,1,95.0
IMG_210204_095415_0074_,0.02978515625,1,95.0
IMG_210204_095417_0075_,0.02831745147705078,1,93.0
IMG_210204_095419_0076_,0.027513504028320312,1,95.0
IMG_210204_095421_0077_,0.028289794921875,1,96.0
IMG_210204_095423_0078_,0.027001380920410156,1,96.0
IMG_210204_095425_0079_,0.033008575439453125,1,95.0
IMG_210204_095427_0080_,0.031034469604492188,1,93.0
IMG_210204_095429_0081_,0.03156089782714844,1,96.0
IMG_210204_095431_0082_,0.028243064880371094,1,96.0
IMG_210204_095433_0083_,0.02783966064453125,1,95.0
IMG_210204_095435_0084_,0.03267478942871094,1,96.0
IMG_210204_095437_0085_,0.026500701904296875,1,97.0
IMG_210204_095439_0086_,0.030037879943847656,1,97.0
IMG_210204_095441_0087_,0.02794361114501953,1,97.0
IMG_210204_095443_0088_,0.028211593627929688,1,96.0
IMG_210204_095445_0089_,0.03175830841064453,1,97.0
IMG_210204_095449_0091_,0.02943134307861328,1,95.0
IMG_210204_095450_0092_,0.03072357177734375,1,96.0
IMG_210204_095452_0093_,0.03141498565673828,1,95.0
IMG_210204_095454_0094_,0.028601646423339844,1,95.0
IMG_210204_095456_0095_,0.02692127227783203,1,95.0
IMG_210204_095520_0096_,0.03389549255371094,1,97.0
IMG_210204_095522_0097_,0.03072834014892578,1,96.0
IMG_210204_095524_0098_,0.030904769897460938,1,95.0
