pairkey,map,min,p1,mean,p99,max
IMG_210204_095117_0002_,GNDVI,4.76837158203125e-07,1.1026859283447266e-06,0.4233015179634094,0.9999476671218872,0.9999995231628418
IMG_210204_095117_0002_,NDRE,4.76837158203125e-07,8.940696716308594e-07,0.4064174294471741,0.9666739851236343,0.9999995231628418
IMG_210204_095117_0002_,BRVI,0.0,0.0,0.7499433755874634,1.0,1.0
IMG_210204_095117_0002_,LR,0.0,0.0,0.09951543807983398,0.5887637883424759,0.6931471824645996
IMG_210204_095117_0002_,sobel,0.0,0.0,0.07784595340490341,0.2910245805978775,0.9999997019767761
IMG_210204_095117_0002_,log,0.0,0.0007763202884234488,0.07562881708145142,0.3290252313017845,0.9999998807907104
IMG_210204_095117_0002_,structure_tensor,0.0,6.337703029046793e-09,0.07200149446725845,0.999982163310051,1.0
IMG_210204_095117_0002_,morph_gradient,0.0,0.003921568859368563,0.12881149351596832,0.4000000059604645,0.8509804010391235
IMG_210204_095119_0003_,S_fused,0.024462614208459854,0.0979017224162817,0.39582082629203796,0.6744122505187988,0.8268393278121948
IMG_210204_095119_0003_,NDVI,5.960464477539062e-07,0.029531866312026978,0.5073705911636353,0.9999977350234985,0.9999995231628418
IMG_210204_095119_0003_,GNDVI,6.556510925292969e-07,0.028117075562477112,0.4879826009273529,0.9998449236154556,0.9999994039535522
IMG_210204_095119_0003_,NDRE,4.76837158203125e-07,0.020601488649845123,0.4772040545940399,0.9948535114526749,0.9999995231628418
IMG_210204_095119_0003_,BRVI,0.0,0.0,0.7563305497169495,1.0,1.0
IMG_210204_095119_0003_,LR,0.0,0.0,0.09654462337493896,0.5486136376857758,0.6931471824645996
IMG_210204_095119_0003_,sobel,0.0,0.0,0.07499870657920837,0.27821607887744904,0.9999997019767761
IMG_210204_095119_0003_,log,0.0,0.0006400369020411745,0.057311754673719406,0.24910610914230347,0.9999999403953552
IMG_210204_095119_0003_,structure_tensor,0.0,4.679776566263172e-08,0.07216478884220123,0.9999978989362717,1.0
IMG_210204_095119_0003_,morph_gradient,0.0,0.0117647061124444,0.13296283781528473,0.4117647111415863,0.9921568632125854
IMG_210204_095121_0004_,S_fused,0.0024037198163568974,0.05059528350830078,0.3141535222530365,0.687468558549881,0.8114389181137085
IMG_210204_095121_0004_,NDVI,4.76837158203125e-07,1.043081283569336e-06,0.36388251185417175,0.9991358518600464,0.9999995231628418
IMG_210204_095121_0004_,GNDVI,4.76837158203125e-07,1.1026859283447266e-06,0.3370395600795746,0.9991175681352615,0.9999995231628418
IMG_210204_095121_0004_,NDRE,4.76837158203125e-07,6.556510925292969e-07,0.35850581526756287,0.9943367540836334,0.9999995231628418
IMG_210204_095121_0004_,BRVI,0.0,0.0,0.7676689624786377,1.0,1.0
IMG_210204_095121_0004_,LR,0.0,0.0,0.03933747857809067,0.4373534843325615,0.6931471824645996
IMG_210204_095121_0004_,sobel,0.0,0.0006380835548043251,0.076024629175663,0.2790059372782707,0.9999997019767761
