pairkey,band,method,ok,ssim_edges,out_path,extra,flag_low_ssim
IMG_210204_095553_0114_,NIR,ORB_RANSAC,1,0.04343338999855587,artifacts\aligned\NIR\IMG_210204_095553_0114__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-0.931347668170929, 0.054018158465623856, 764.2434692382812], [-1.2062673568725586, 0.04584164917469025, 996.621337890625], [-0.001217260374687612, 6.80315715726465e-05, 1.0]]}",1
IMG_210204_095553_0114_,GRE,ORB_RANSAC,1,0.6286035035281338,artifacts\aligned\GRE\IMG_210204_095553_0114__GRE.tif,"{""inliers"": 311, ""matches"": 500, ""homography"": [[0.9996612071990967, -0.001990783493965864, 15.888446807861328], [0.00010639453830663115, 0.9971455335617065, -17.879409790039062], [7.732780460401045e-08, -2.3631012027180986e-06, 1.0]]}",0
IMG_210204_095555_0115_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095555_0115__RED.tif,{},0
IMG_210204_095555_0115_,REG,ORB_RANSAC,1,0.034367371576656806,artifacts\aligned\REG\IMG_210204_095555_0115__REG.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[-1.0662519931793213, 0.017856739461421967, 831.068603515625], [-0.657528817653656, 0.009506171569228172, 512.8182983398438], [-0.0012827781029045582, 2.0735637008328922e-05, 1.0]]}",1
IMG_210204_095555_0115_,NIR,ORB_RANSAC,1,0.06518303643951497,artifacts\aligned\NIR\IMG_210204_095555_0115__NIR.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[-1.0401768684387207, 0.024870168417692184, 873.5914306640625], [-0.5928477644920349, 0.02075936645269394, 495.0745849609375], [-0.0011919598327949643, 3.1336250685853884e-05, 1.0]]}",1
IMG_210204_095555_0115_,GRE,ORB_RANSAC,1,0.6572693491798279,artifacts\aligned\GRE\IMG_210204_095555_0115__GRE.tif,"{""inliers"": 309, ""matches"": 500, ""homography"": [[1.0006874799728394, -0.0006805297452956438, 15.464777946472168], [0.0009457530686631799, 0.9991825222969055, -18.594112396240234], [1.1198183074156987e-06, -1.1049993418055237e-06, 1.0]]}",0
IMG_210204_095557_0116_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095557_0116__RED.tif,{},0
IMG_210204_095557_0116_,REG,ORB_RANSAC,1,0.098688232382202,artifacts\aligned\REG\IMG_210204_095557_0116__REG.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-0.32163718342781067, -0.5039898753166199, 271.7024230957031], [-0.3064323961734772, -0.47935590147972107, 259.3979187011719], [-0.0011845804983749986, -0.0018240297213196754, 1.0]]}",1
IMG_210204_095557_0116_,NIR,ORB_RANSAC,1,0.11844280458541803,artifacts\aligned\NIR\IMG_210204_095557_0116__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[0.23438440263271332, -1.172666072845459, 851.2960815429688], [0.1503034085035324, -0.816703200340271, 604.2930908203125], [0.0002622922183945775, -0.0013633742928504944, 1.0]]}",1
IMG_210204_095557_0116_,GRE,ORB_RANSAC,1,0.6257544432563091,artifacts\aligned\GRE\IMG_210204_095557_0116__GRE.tif,"{""inliers"": 300, ""matches"": 500, ""homography"": [[1.0001921653747559, 0.00030599755700677633, 15.080403327941895], [-5.30101942786132e-06, 0.999912440776825, -18.448530197143555], [-4.1318767785014643e-07, 6.857453627162613e-08, 1.0]]}",0
IMG_210204_095559_0117_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095559_0117__RED.tif,{},0
IMG_210204_095559_0117_,REG,ORB_RANSAC,1,0.1240112686886891,artifacts\aligned\REG\IMG_210204_095559_0117__REG.tif,"{""inliers"": 7, ""matches"": 500, ""homography"": [[-0.6845601797103882, -0.05043373629450798, 677.3855590820312], [0.01510037574917078, -0.07683136314153671, 37.2636604309082], [-0.0010778296273201704, 9.640415373723954e-05, 1.0]]}",1
